cart_item_id,user_id,product_id,quantity,added_at
1,238,142,4,2026-06-24 11:44:19
2,405,380,4,2026-07-07 02:03:09
3,325,2,1,2026-06-29 08:12:30
4,458,341,1,2026-06-27 04:46:34
5,219,277,2,2026-07-09 02:51:49
6,351,83,3,2026-07-07 20:36:42
7,478,57,3,2026-06-21 06:02:14
8,57,393,3,2026-07-01 07:05:15
9,317,42,3,2026-06-28 21:27:45
10,90,573,1,2026-07-03 14:39:55
11,364,210,2,2026-06-28 03:06:38
12,123,553,1,2026-07-05 18:05:32
13,245,595,2,2026-07-08 06:45:19
14,382,231,3,2026-06-28 13:28:09
15,460,274,4,2026-06-26 17:26:55
16,28,65,3,2026-06-28 09:06:32
17,232,498,1,2026-07-01 09:53:25
18,364,545,3,2026-06-30 23:17:47
19,318,377,1,2026-06-24 13:43:26
20,457,469,1,2026-06-21 22:42:09
21,201,184,3,2026-06-21 20:49:30
22,56,169,3,2026-06-22 17:15:32
23,357,152,4,2026-06-23 15:40:17
24,448,210,1,2026-06-27 02:47:00
25,214,555,2,2026-07-01 12:04:10
26,178,431,4,2026-07-07 21:44:48
27,331,22,3,2026-06-24 14:08:08
28,33,23,2,2026-07-02 14:42:03
29,331,344,4,2026-07-04 01:07:11
30,176,335,4,2026-07-04 09:39:20
31,341,543,4,2026-07-01 02:48:30
32,156,581,2,2026-07-09 03:49:43
33,157,176,3,2026-06-25 12:06:36
34,248,381,3,2026-07-08 16:24:42
35,433,49,2,2026-06-28 13:42:28
36,146,467,2,2026-07-05 00:22:41
37,474,165,3,2026-06-24 10:11:09
38,499,180,2,2026-06-23 21:56:15
39,122,120,1,2026-06-27 16:26:52
40,295,130,4,2026-06-26 07:41:53
41,190,189,2,2026-07-03 15:40:21
42,363,36,3,2026-06-28 08:18:19
43,76,382,4,2026-07-03 02:29:42
44,500,167,3,2026-06-22 22:46:23
45,472,26,4,2026-07-02 02:55:53
46,394,149,4,2026-06-27 18:32:25
47,80,5,3,2026-07-05 17:02:48
48,362,303,4,2026-06-27 00:50:11
49,497,588,2,2026-07-09 09:47:12
50,290,453,3,2026-07-06 17:27:25
51,58,491,1,2026-06-23 09:13:11
52,348,565,1,2026-06-27 11:28:15
53,13,412,2,2026-06-30 19:47:52
54,183,95,3,2026-06-21 08:03:33
55,312,200,2,2026-07-08 23:07:49
56,480,285,2,2026-06-20 13:08:07
57,43,552,4,2026-07-06 10:25:04
58,344,90,4,2026-06-24 17:16:31
59,252,326,1,2026-07-06 04:25:10
60,185,408,2,2026-07-07 09:04:44
61,438,438,3,2026-06-29 08:55:36
62,191,13,3,2026-06-28 08:55:50
63,180,316,4,2026-07-03 14:49:31
64,45,221,4,2026-07-07 23:58:16
65,213,454,3,2026-06-23 23:24:53
66,413,435,4,2026-06-23 09:18:14
67,428,89,2,2026-06-25 01:02:34
68,156,487,3,2026-06-21 14:30:54
69,478,385,1,2026-06-20 03:51:20
70,210,280,4,2026-06-24 05:52:57
71,285,474,2,2026-06-24 20:04:33
72,96,391,3,2026-07-03 10:39:03
73,252,44,3,2026-07-04 04:54:30
74,156,506,4,2026-06-25 10:47:33
75,14,3,2,2026-06-26 09:01:13
76,154,484,1,2026-07-05 20:52:25
77,341,295,4,2026-06-24 08:29:30
78,252,251,1,2026-06-22 21:31:44
79,392,284,4,2026-06-21 14:52:12
