coupon_id,coupon_code,discount_percentage,expiry_date,is_active
1,WELCOME10,10.0,2026-12-31,1
2,FESTIVE20,20.0,2026-11-15,1
3,FREESHIP,5.0,2026-09-30,1
4,SUMMER15,15.0,2026-08-31,1
5,NEWUSER25,25.0,2026-12-31,1
6,FLASH30,30.0,2026-07-31,1
7,DIWALI20,20.0,2026-11-01,1
8,REPEAT10,10.0,2026-10-31,1
9,BIGBILL15,15.0,2026-09-15,1
10,WEEKEND12,12.0,2026-08-15,1
11,APP5,5.0,2026-12-01,1
12,FIRSTBUY18,18.0,2026-12-31,1
13,CLEARANCE40,40.0,2026-07-25,1
14,LOYALTY8,8.0,2026-11-30,1
15,OLD5,5.0,2026-01-01,0
16,EXPIRED10,10.0,2026-02-28,0
17,MONSOON22,22.0,2026-09-05,1
18,VIP35,35.0,2026-12-31,1
