inventory_id,product_id,stock_quantity,warehouse_location,last_updated
1,1,377,Jaipur Warehouse A,2026-06-16 23:32:39
2,2,258,Bengaluru Warehouse E,2025-07-11 00:26:47
3,3,301,Mumbai Warehouse C,2025-12-18 10:26:10
4,4,52,Jaipur Warehouse A,2026-02-13 23:45:21
5,5,373,Chennai Warehouse D,2026-03-27 05:59:27
6,6,316,Mumbai Warehouse C,2026-06-29 08:01:22
7,7,437,Delhi Warehouse B,2025-05-21 10:13:59
8,8,107,Kolkata Warehouse F,2026-01-15 15:08:22
9,9,83,Chennai Warehouse D,2025-12-04 12:23:14
10,10,117,Jaipur Warehouse A,2025-10-16 11:13:47
11,11,448,Kolkata Warehouse F,2026-05-17 15:30:26
12,12,126,Kolkata Warehouse F,2026-06-29 11:33:29
13,13,204,Mumbai Warehouse C,2026-05-11 19:57:02
14,14,78,Kolkata Warehouse F,2025-07-29 10:17:18
15,15,270,Mumbai Warehouse C,2026-07-07 02:38:07
16,16,384,Mumbai Warehouse C,2026-06-26 12:57:02
17,17,488,Kolkata Warehouse F,2025-07-27 02:25:28
18,18,430,Kolkata Warehouse F,2026-03-05 23:10:29
19,19,488,Bengaluru Warehouse E,2026-02-24 01:25:07
20,20,449,Mumbai Warehouse C,2026-01-10 22:18:32
21,21,417,Jaipur Warehouse A,2026-06-10 04:10:53
22,22,135,Bengaluru Warehouse E,2026-04-02 22:03:08
23,23,332,Mumbai Warehouse C,2026-06-27 23:34:32
24,24,10,Bengaluru Warehouse E,2026-04-23 17:17:40
25,25,30,Delhi Warehouse B,2026-05-12 17:39:56
26,26,248,Delhi Warehouse B,2026-06-30 18:54:09
27,27,413,Chennai Warehouse D,2026-02-09 08:13:44
28,28,239,Kolkata Warehouse F,2025-12-07 08:24:49
29,29,127,Delhi Warehouse B,2025-08-21 14:40:23
30,30,127,Jaipur Warehouse A,2026-06-16 10:17:24
31,31,474,Delhi Warehouse B,2025-07-21 14:48:27
32,32,84,Chennai Warehouse D,2025-02-17 05:13:19
33,33,338,Kolkata Warehouse F,2026-06-11 04:19:31
34,34,376,Bengaluru Warehouse E,2026-04-07 16:47:09
35,35,80,Jaipur Warehouse A,2026-05-27 03:33:39
36,36,206,Jaipur Warehouse A,2026-07-03 08:49:49
37,37,214,Kolkata Warehouse F,2026-06-02 00:43:17
38,38,122,Mumbai Warehouse C,2026-02-02 17:48:11
39,39,4,Chennai Warehouse D,2026-06-23 19:32:57
40,40,67,Mumbai Warehouse C,2026-07-03 01:56:35
41,41,360,Mumbai Warehouse C,2026-06-25 16:56:29
42,42,53,Delhi Warehouse B,2026-06-13 02:35:13
43,43,309,Delhi Warehouse B,2026-05-13 12:56:52
44,44,463,Jaipur Warehouse A,2025-08-19 21:31:23
45,45,326,Mumbai Warehouse C,2025-08-16 02:45:40
46,46,279,Jaipur Warehouse A,2026-02-07 13:15:28
47,47,460,Jaipur Warehouse A,2026-02-27 04:37:13
48,48,452,Chennai Warehouse D,2026-04-10 21:15:20
49,49,400,Chennai Warehouse D,2026-06-03 04:22:22
50,50,439,Chennai Warehouse D,2025-07-22 20:20:38
51,51,114,Jaipur Warehouse A,2026-03-10 02:38:32
52,52,179,Kolkata Warehouse F,2026-02-19 15:16:19
53,53,91,Bengaluru Warehouse E,2025-11-02 23:43:48
54,54,223,Bengaluru Warehouse E,2026-03-19 06:10:38
55,55,0,Bengaluru Warehouse E,2026-07-02 19:26:14
56,56,319,Mumbai Warehouse C,2026-05-30 02:35:38
57,57,167,Chennai Warehouse D,2026-03-09 00:42:06
58,58,346,Kolkata Warehouse F,2025-12-29 01:49:56
59,59,155,Mumbai Warehouse C,2025-06-13 13:39:23
60,60,261,Chennai Warehouse D,2025-10-25 18:57:34
61,61,344,Mumbai Warehouse C,2025-09-27 16:04:13
62,62,312,Jaipur Warehouse A,2026-04-03 11:34:35
63,63,75,Kolkata Warehouse F,2026-04-02 13:18:17
64,64,237,Jaipur Warehouse A,2026-05-26 13:07:53
65,65,271,Bengaluru Warehouse E,2026-07-02 10:18:11
66,66,228,Delhi Warehouse B,2026-06-02 17:12:59
67,67,248,Kolkata Warehouse F,2026-03-28 08:41:57
68,68,163,Bengaluru Warehouse E,2025-10-20 03:41:23
69,69,32,Chennai Warehouse D,2026-04-28 18:34:24
70,70,199,Bengaluru Warehouse E,2025-11-30 22:05:37
71,71,385,Chennai Warehouse D,2026-01-30 16:06:16
72,72,249,Delhi Warehouse B,2025-10-05 07:04:50
73,73,370,Delhi Warehouse B,2026-05-11 13:24:02
74,74,288,Kolkata Warehouse F,2026-04-08 08:49:59
