order_item_id,order_id,product_id,quantity,price_per_unit
1,1,287,3,52131.35
2,2,415,1,27885.03
3,2,203,1,2730.24
4,2,309,3,17817.02
5,3,534,1,84851.09
6,3,349,1,70626.45
7,3,164,3,45764.65
8,4,518,2,7277.99
9,4,114,3,24180.65
10,4,62,3,22185.86
11,4,382,2,65821.55
12,5,596,3,36913.29
13,5,580,3,36643.63
14,6,387,3,25784.89
15,6,533,1,45448.63
16,7,422,2,61551.52
17,7,84,1,9676.39
18,7,95,2,20626.99
19,7,64,1,15993.62
20,8,271,2,82207.03
21,8,599,3,69721.66
22,8,511,2,16476.2
23,8,434,3,63480.73
24,9,218,2,33186.75
25,10,124,2,1577.21
26,11,311,1,15399.06
27,11,302,1,8502.27
28,11,498,1,89521.28
29,12,501,1,46139.31
30,12,3,3,37871.88
31,13,136,2,19865.61
32,13,142,3,9928.48
33,13,517,2,87318.03
34,13,472,1,75420.31
35,14,454,3,72773.58
36,15,198,3,27989.22
37,16,488,1,80376.49
38,16,515,1,13548.17
39,17,412,1,21461.1
40,17,47,2,3955.23
41,17,504,2,1343.9
42,18,118,1,82982.76
43,19,61,1,30298.91
44,19,334,1,24980.38
45,20,124,3,1577.21
46,20,54,3,31241.7
47,20,208,1,51838.26
48,20,246,2,45587.91
49,21,496,1,65498.76
50,22,312,2,75547.35
51,22,582,2,32726.62
52,23,569,2,49739.13
53,23,463,3,24931.19
54,23,43,2,14158.22
55,23,2,3,8612.83
56,24,600,2,9204.02
57,24,523,1,10438.3
58,25,126,2,78538.99
59,25,144,1,4271.14
60,25,570,3,23837.47
61,25,287,3,52131.35
62,26,216,1,77619.04
63,26,471,3,21925.04
64,26,337,1,12422.98
65,27,403,3,24557.96
66,27,552,1,60395.09
67,27,84,3,9676.39
68,27,80,2,86742.38
69,28,474,2,24362.71
70,29,197,3,87268.06
71,29,93,1,28535.21
72,29,311,1,15399.06
73,30,114,2,24180.65
74,30,285,1,40203.35
75,30,583,3,43215.1
76,30,513,1,1308.95
77,31,584,3,11683.08
78,31,234,2,16539.29
79,31,536,1,61567.45
80,32,331,2,31980.5
81,33,431,2,75334.38
82,33,546,1,36425.85
83,33,460,2,52963.33
84,34,169,2,14334.41
85,34,338,1,87190.52
86,35,111,1,37164.73
87,35,485,2,23597.22
88,36,593,1,31675.5
89,36,128,2,81326.48
90,36,88,2,32062.28
91,36,63,3,44594.07
92,37,309,3,17817.02
93,38,239,2,55705.14
94,38,11,2,82198.62
95,38,465,3,28122.25
96,38,394,3,52861.06
97,39,106,1,63035.08
98,40,456,1,35652.43
99,40,191,1,59791.37
100,40,249,1,4792.96
101,40,141,2,1448.9
102,41,352,1,29921.87
103,41,299,3,36860.67
104,41,378,3,8580.93
105,42,71,1,84857.2
106,42,350,3,28837.07
107,43,593,3,31675.5
108,43,580,2,36643.63
109,43,344,2,10020.37
