order_id,user_id,shipping_address_id,total_amount,order_status,order_date
1,206,316,156394.05,Delivered,2025-09-11 15:42:10
2,320,510,84066.33,Shipped,2026-06-01 10:51:08
3,110,169,292771.49,Pending,2026-02-12 10:15:00
4,133,206,285298.61,Cancelled,2025-09-04 01:53:28
5,153,238,220670.76,Delivered,2025-12-28 23:16:31
6,146,228,122803.3,Cancelled,2026-03-31 21:07:37
7,233,362,190027.03,Cancelled,2025-05-04 19:57:02
8,302,484,596973.63,Cancelled,2026-02-18 01:50:09
9,365,590,66373.5,Cancelled,2025-04-21 11:54:52
10,472,779,3154.42,Delivered,2026-04-23 06:38:26
11,79,118,113422.61,Delivered,2025-10-26 12:39:12
12,458,757,159754.95,Delivered,2025-08-19 04:29:35
13,159,251,319573.03,Delivered,2025-09-30 09:28:54
14,120,186,218320.74,Shipped,2025-10-01 07:22:42
15,288,457,83967.66,Pending,2026-05-26 03:25:49
16,296,474,93924.66,Shipped,2026-03-29 22:07:32
17,126,196,32059.36,Shipped,2025-03-17 17:57:07
18,271,429,82982.76,Delivered,2025-11-03 17:12:03
19,79,118,55279.29,Cancelled,2025-11-23 08:10:58
20,73,107,241470.81,Delivered,2025-09-19 19:51:27
21,163,256,65498.76,Delivered,2026-03-16 14:55:27
22,494,816,216547.94,Cancelled,2025-07-21 07:39:53
23,277,440,228426.76,Shipped,2025-07-20 10:08:28
24,430,705,28846.34,Pending,2025-10-10 22:54:17
25,379,619,389255.58,Delivered,2025-09-01 12:18:18
26,140,218,155817.14,Delivered,2026-06-09 09:44:18
27,89,133,336582.9,Cancelled,2026-03-18 16:41:19
28,199,309,48725.42,Delivered,2026-07-06 09:35:00
29,381,622,305738.45,Cancelled,2025-08-17 08:43:35
30,253,398,219518.9,Delivered,2025-01-16 13:00:48
31,302,482,129695.27,Delivered,2025-03-02 12:36:26
32,287,456,63961.0,Delivered,2025-01-12 12:26:35
33,186,289,293021.27,Delivered,2025-07-04 09:52:55
34,354,573,115859.34,Delivered,2025-03-09 19:40:08
35,304,488,84359.17,Delivered,2025-09-27 15:51:03
36,318,506,392235.23,Pending,2025-03-26 07:25:55
37,401,657,53451.06,Shipped,2025-02-28 03:48:19
38,151,236,518757.45,Delivered,2025-11-18 23:54:54
39,265,421,63035.08,Delivered,2026-04-12 13:38:06
40,261,413,103134.56,Delivered,2025-10-14 00:58:20
41,299,479,166246.67,Shipped,2025-05-05 11:54:14
42,177,275,171368.41,Pending,2025-06-15 15:12:10
43,356,575,188354.5,Cancelled,2026-04-21 20:22:46
44,113,172,222576.75,Delivered,2026-05-22 03:28:51
45,95,141,57021.8,Delivered,2025-10-19 19:24:06
46,300,480,63409.53,Delivered,2025-02-14 02:26:42
47,101,153,255678.03,Delivered,2025-05-27 18:19:15
48,157,246,275218.15,Delivered,2025-07-16 12:43:09
49,163,256,61627.71,Delivered,2026-05-20 02:33:50
50,436,718,201587.85,Shipped,2026-04-09 16:04:54
51,266,422,262004.04,Delivered,2025-05-30 00:46:27
52,113,172,389637.15,Delivered,2025-12-28 03:22:59
53,266,422,2576.43,Pending,2025-07-08 18:49:15
54,173,269,138666.68,Shipped,2025-12-27 10:04:04
55,151,236,63528.46,Delivered,2025-08-13 16:56:04
56,169,264,107447.36,Cancelled,2025-09-03 03:01:38
57,421,690,117968.71,Pending,2026-01-12 14:47:31
58,108,166,414534.45,Shipped,2025-07-11 12:54:57
59,72,106,130738.65,Cancelled,2025-09-05 08:16:25
60,391,642,32726.62,Pending,2025-09-21 06:33:45
61,79,118,195027.37,Pending,2026-03-28 07:50:44
62,169,264,63912.01,Delivered,2026-05-22 07:53:05
63,96,143,468865.11,Delivered,2025-03-05 23:24:24
64,441,731,123668.58,Delivered,2025-11-10 18:43:50
65,446,739,467447.49,Shipped,2025-09-08 14:17:32
66,74,109,285638.42,Delivered,2025-03-01 16:29:16
67,331,528,136855.44,Cancelled,2025-10-07 08:28:55
68,358,578,45587.91,Cancelled,2025-11-12 16:19:41
69,466,771,8580.93,Cancelled,2025-11-26 10:46:49
70,107,163,29656.18,Delivered,2026-01-04 23:25:35
71,6,12,260388.5,Cancelled,2025-04-10 01:50:26
72,72,106,110643.61,Delivered,2025-08-15 19:34:54
73,391,642,136738.04,Delivered,2026-06-21 03:20:13
74,357,576,241512.9,Shipped,2026-05-19 01:21:03
75,393,645,131602.34,Delivered,2025-07-23 22:44:28
76,491,810,61829.07,Delivered,2026-06-10 19:53:04
77,203,313,125105.11,Delivered,2025-04-14 19:56:56
78,235,365,134647.11,Pending,2025-03-03 06:37:57
79,256,403,97817.77,Pending,2026-03-03 11:08:53
80,357,577,285474.15,Cancelled,2026-06-21 12:58:53
81,196,305,55705.14,Pending,2026-02-06 00:25:47
82,389,640,280212.92,Delivered,2025-09-07 21:21:20
83,485,802,327082.67,Delivered,2025-09-23 07:13:22
84,106,162,87726.39,Delivered,2026-06-11 12:36:38
85,446,739,35099.4,Delivered,2025-03-06 08:36:48
86,260,410,124751.16,Cancelled,2025-12-08 01:41:09
87,140,219,605920.16,Delivered,2025-03-14 03:36:20
88,219,339,99483.26,Pending,2025-09-01 04:43:18
89,157,246,220184.66,Delivered,2025-08-18 23:42:38
90,474,783,286213.17,Cancelled,2025-11-13 12:48:12
91,478,790,590938.41,Cancelled,2025-06-10 20:40:33
92,125,194,24069.86,Delivered,2025-02-06 19:16:03
93,309,493,105722.12,Delivered,2025-01-20 13:59:08
94,85,128,284034.99,Cancelled,2025-07-26 09:51:41
95,417,684,141571.36,Cancelled,2025-08-07 22:55:16
96,269,427,293523.95,Delivered,2026-06-03 09:09:33
97,103,157,103067.49,Cancelled,2025-06-01 22:19:22
98,151,236,327115.63,Delivered,2025-10-31 09:22:13
99,385,630,40655.2,Pending,2026-06-11 18:30:22
100,406,665,407873.74,Pending,2025-10-29 18:55:05
101,350,565,178678.04,Delivered,2025-09-12 20:11:51
102,309,493,100536.36,Delivered,2026-02-27 03:38:52
103,327,520,154480.69,Pending,2025-01-23 22:00:40
104,379,619,385063.08,Delivered,2025-10-08 13:24:56
105,255,402,234535.05,Cancelled,2025-09-02 01:32:22
106,55,82,225222.95,Delivered,2025-02-02 16:44:00
107,408,670,59843.74,Pending,2025-07-03 20:03:00
108,381,624,186421.64,Pending,2025-11-03 10:28:51
109,380,620,453841.0,Pending,2025-04-11 04:22:36
110,32,52,601162.71,Delivered,2025-11-08 11:33:25
111,75,112,291058.42,Shipped,2025-06-30 00:40:14
112,254,401,455594.5,Delivered,2025-10-30 14:21:28
113,281,445,721231.29,Delivered,2025-09-30 01:46:51
114,166,261,98503.84,Shipped,2025-09-04 04:21:01
115,377,615,24069.86,Cancelled,2025-10-19 08:22:40
116,499,825,226574.07,Delivered,2025-05-30 12:35:58
117,18,31,392395.2,Delivered,2025-07-17 01:52:13
118,43,67,210661.76,Pending,2026-01-25 23:41:33
119,356,575,262477.17,Delivered,2026-04-16 12:03:56
120,285,453,224302.35,Shipped,2025-03-01 15:46:21
121,285,453,43155.63,Delivered,2025-09-12 02:54:13
122,44,69,230742.56,Delivered,2026-02-08 03:17:18
123,274,435,496513.11,Pending,2025-04-29 15:05:13
124,420,689,147356.57,Delivered,2025-07-14 03:52:15
125,374,609,87184.75,Pending,2025-03-09 18:09:52
126,347,559,314538.36,Delivered,2026-07-04 10:42:17
127,421,690,377708.94,Shipped,2025-09-13 17:23:02
128,466,771,198147.75,Delivered,2025-08-11 05:48:18
129,373,607,50526.56,Shipped,2026-04-13 08:31:54
130,460,760,494771.7,Delivered,2025-05-23 14:57:45
131,263,417,145669.28,Delivered,2026-06-05 17:51:41
132,312,497,331216.53,Delivered,2026-01-01 13:45:38
133,395,648,152530.41,Pending,2025-03-22 00:20:32
134,484,801,165020.37,Pending,2025-05-19 05:55:54
135,284,451,392636.94,Delivered,2025-01-19 07:21:47
136,98,149,610364.08,Cancelled,2025-01-16 15:54:00
137,90,134,391587.06,Delivered,2025-10-23 02:19:31
138,154,239,118958.86,Delivered,2025-08-27 00:04:34
139,435,714,150840.62,Delivered,2025-02-24 15:49:00
140,182,284,256663.92,Shipped,2025-03-30 17:04:23
141,203,313,488924.81,Delivered,2025-08-31 11:04:33
142,57,84,66046.42,Delivered,2025-08-20 06:54:59
143,216,333,158135.28,Shipped,2026-03-14 07:02:54
144,80,120,245501.73,Delivered,2026-02-03 08:41:34
145,43,68,89773.25,Pending,2025-07-22 10:20:39
146,443,733,436420.36,Delivered,2026-07-09 10:45:45
147,20,34,533435.05,Delivered,2025-06-09 06:26:46
148,246,385,75547.35,Delivered,2026-02-11 00:32:53
149,164,257,93725.1,Delivered,2025-06-01 04:05:45
150,52,78,477065.7,Delivered,2025-06-03 13:40:02
151,271,429,200201.76,Pending,2025-07-15 01:20:35
152,381,624,43712.75,Delivered,2025-04-14 11:34:03
153,274,435,274066.98,Delivered,2025-02-14 00:41:53
154,35,56,30470.7,Shipped,2025-12-02 10:48:13
155,407,669,455262.65,Cancelled,2025-06-07 17:24:56
156,95,141,345473.85,Pending,2025-05-15 06:40:23
157,369,599,124407.34,Delivered,2025-09-03 15:58:31
158,475,784,117838.96,Delivered,2025-08-09 01:16:15
159,485,802,326840.14,Delivered,2025-04-24 18:42:02
160,485,802,131057.42,Pending,2026-05-12 09:45:59
161,298,478,32636.31,Shipped,2025-05-11 21:22:02
162,292,466,321223.9,Pending,2025-05-31 03:01:24
163,97,145,363430.77,Delivered,2025-05-02 11:27:02
164,424,694,90855.98,Delivered,2026-05-26 14:01:02
165,495,817,336355.7,Shipped,2025-04-03 14:18:05
166,279,443,85226.01,Shipped,2026-05-13 09:11:02
167,1,1,243445.3,Delivered,2025-01-29 15:24:31
168,490,809,352714.86,Delivered,2025-10-15 12:42:07
169,218,336,513361.1,Cancelled,2026-06-13 06:52:38
170,404,662,39201.88,Cancelled,2025-05-06 10:54:19
171,492,813,298168.52,Delivered,2025-05-03 08:48:13
172,411,674,251303.17,Delivered,2025-11-04 15:05:24
173,121,188,101668.44,Delivered,2025-01-13 05:25:41
174,435,713,30271.63,Shipped,2025-08-27 21:33:20
175,376,613,289751.7,Delivered,2026-07-05 16:39:52
