payment_id,order_id,payment_method,payment_status,transaction_id,paid_at
1,1,COD,Success,,2025-09-12 01:42:10
2,2,Credit Card,Success,TXN000002S,2026-06-02 11:51:08
3,3,COD,Pending,,
4,4,UPI,Failed,TXN000004F,
5,5,COD,Success,,2025-12-30 10:16:31
6,6,UPI,Pending,,
7,7,Credit Card,Failed,TXN000007F,
8,8,Credit Card,Failed,TXN000008F,
9,9,Credit Card,Failed,TXN000009F,
10,10,COD,Success,,2026-04-24 01:38:26
11,11,COD,Success,,2025-10-27 15:39:12
12,12,Credit Card,Success,TXN000012S,2025-08-19 09:29:35
13,13,COD,Success,,2025-10-01 06:28:54
14,14,Credit Card,Success,TXN000014S,2025-10-03 01:22:42
15,15,COD,Pending,,
16,16,COD,Success,,2026-03-31 09:07:32
17,17,UPI,Success,TXN000017S,2025-03-18 20:57:07
18,18,COD,Success,,2025-11-04 04:12:03
19,19,COD,Failed,TXN000019F,
20,20,COD,Success,,2025-09-21 04:51:27
21,21,Credit Card,Success,TXN000021S,2026-03-18 07:55:27
22,22,UPI,Failed,TXN000022F,
23,23,UPI,Success,TXN000023S,2025-07-20 11:08:28
24,24,UPI,Pending,,
25,25,Credit Card,Success,TXN000025S,2025-09-03 08:18:18
26,26,COD,Success,,2026-06-09 10:44:18
27,27,COD,Failed,TXN000027F,
28,28,UPI,Success,TXN000028S,2026-07-07 14:35:00
29,29,Credit Card,Pending,,
30,30,COD,Success,,2025-01-18 13:00:48
31,31,COD,Success,,2025-03-02 14:36:26
32,32,Credit Card,Success,TXN000032S,2025-01-13 06:26:35
33,33,UPI,Success,TXN000033S,2025-07-05 07:52:55
34,34,COD,Success,,2025-03-11 12:40:08
35,35,UPI,Success,TXN000035S,2025-09-28 13:51:03
36,36,UPI,Pending,,
37,37,COD,Success,,2025-03-01 07:48:19
38,38,UPI,Success,TXN000038S,2025-11-19 21:54:54
39,39,COD,Success,,2026-04-14 11:38:06
40,40,COD,Success,,2025-10-15 04:58:20
41,41,COD,Success,,2025-05-07 07:54:14
42,42,Credit Card,Pending,,
43,43,Credit Card,Failed,TXN000043F,
44,44,COD,Success,,2026-05-23 01:28:51
45,45,COD,Success,,2025-10-20 03:24:06
46,46,Credit Card,Success,TXN000046S,2025-02-16 01:26:42
47,47,UPI,Success,TXN000047S,2025-05-28 19:19:15
48,48,UPI,Success,TXN000048S,2025-07-16 21:43:09
49,49,Credit Card,Success,TXN000049S,2026-05-20 12:33:50
50,50,UPI,Success,TXN000050S,2026-04-10 03:04:54
51,51,Credit Card,Success,TXN000051S,2025-05-31 17:46:27
52,52,COD,Success,,2025-12-28 09:22:59
53,53,COD,Pending,,
54,54,Credit Card,Success,TXN000054S,2025-12-28 01:04:04
55,55,Credit Card,Success,TXN000055S,2025-08-13 19:56:04
56,56,Credit Card,Pending,,
57,57,COD,Pending,,
58,58,UPI,Success,TXN000058S,2025-07-12 17:54:57
