product_id,category_id,title,description,price,sku,created_at
1,27,Samsung Notebook Set,Notebook Set by Samsung - top rated in Office Supplies.,22190.29,SKU-OFF-0001,2025-04-19 09:10:31
2,9,Sony Sports Earphones,Sports Earphones by Sony - best seller in Headphones.,8612.83,SKU-HEA-0002,2025-06-30 17:06:48
3,24,Cello Meditation Cushion,Meditation Cushion by Cello - premium quality in Yoga & Wellness.,37871.88,SKU-YOG-0003,2025-12-15 21:51:48
4,12,Nike Blazer,Blazer by Nike - top rated in Men's Wear.,14161.06,SKU-MEN-0004,2025-09-19 10:34:37
5,10,Adidas Smart Watch Pro,Smart Watch Pro by Adidas - premium quality in Smart Watches.,23952.97,SKU-SMA-0005,2025-02-03 17:58:29
6,10,LG Smart Watch Pro,Smart Watch Pro by LG - premium quality in Smart Watches.,26526.41,SKU-SMA-0006,2026-05-04 06:41:42
7,13,Sony Kurti Set,Kurti Set by Sony - new arrival in Women's Wear.,69620.54,SKU-WOM-0007,2025-03-03 23:25:48
8,19,Bajaj Sunscreen SPF50,Sunscreen SPF50 by Bajaj - top rated in Skincare.,14805.34,SKU-SKI-0008,2025-10-03 22:43:33
9,27,SG Notebook Set,Notebook Set by SG - new arrival in Office Supplies.,48164.76,SKU-OFF-0009,2025-07-10 03:36:23
10,15,Classmate Formal Shoes,Formal Shoes by Classmate - top rated in Footwear.,75887.1,SKU-FOO-0010,2025-02-13 10:45:32
11,19,LG Sunscreen SPF50,Sunscreen SPF50 by LG - new arrival in Skincare.,82198.62,SKU-SKI-0011,2026-03-17 13:00:08
12,13,Prestige Palazzo Set,Palazzo Set by Prestige - value for money in Women's Wear.,13028.87,SKU-WOM-0012,2025-04-19 10:53:52
13,24,Urban Ladder Yoga Block,Yoga Block by Urban Ladder - premium quality in Yoga & Wellness.,38672.36,SKU-YOG-0013,2026-03-30 05:50:31
14,11,Nivea Action Camera,Action Camera by Nivea - best seller in Cameras.,68068.24,SKU-CAM-0014,2025-03-27 04:00:28
15,20,Prestige Shampoo,Shampoo by Prestige - value for money in Haircare.,53709.78,SKU-HAI-0015,2025-12-30 13:04:56
16,24,Classmate Meditation Cushion,Meditation Cushion by Classmate - best seller in Yoga & Wellness.,61416.59,SKU-YOG-0016,2026-02-22 01:51:08
17,17,Puma Study Table,Study Table by Puma - value for money in Furniture.,14401.57,SKU-FUR-0017,2025-01-03 12:29:49
18,23,Lakme Football,Football by Lakme - best seller in Outdoor Sports.,78371.57,SKU-OUT-0018,2025-08-20 19:24:50
19,26,Noise Reference Guide,Reference Guide by Noise - top rated in Academic.,68672.47,SKU-ACA-0019,2026-02-23 22:45:13
20,26,Nivea Competitive Exam Book,Competitive Exam Book by Nivea - best seller in Academic.,10244.72,SKU-ACA-0020,2025-10-09 22:27:06
21,8,Yonex Pavilion,Pavilion by Yonex - best seller in Laptops.,7890.68,SKU-LAP-0021,2026-01-13 11:31:07
22,24,Noise Meditation Cushion,Meditation Cushion by Noise - value for money in Yoga & Wellness.,85226.01,SKU-YOG-0022,2025-05-09 06:11:22
23,13,Cello Saree,Saree by Cello - top rated in Women's Wear.,36028.51,SKU-WOM-0023,2026-06-06 17:09:08
24,23,Boat Cycling Helmet,Cycling Helmet by Boat - new arrival in Outdoor Sports.,20376.82,SKU-OUT-0024,2025-09-20 14:22:18
25,14,Lenovo Kids Shorts Set,Kids Shorts Set by Lenovo - best seller in Kids Wear.,6574.18,SKU-KID-0025,2026-05-06 04:36:42
26,8,LG IdeaPad,IdeaPad by LG - premium quality in Laptops.,21571.82,SKU-LAP-0026,2026-06-04 14:38:58
27,11,Yonex Action Camera,Action Camera by Yonex - premium quality in Cameras.,42644.86,SKU-CAM-0027,2026-01-03 08:51:16
28,10,Classmate Fit Band,Fit Band by Classmate - value for money in Smart Watches.,32014.92,SKU-SMA-0028,2025-11-16 07:30:06
29,27,Sony Notebook Set,Notebook Set by Sony - value for money in Office Supplies.,65592.58,SKU-OFF-0029,2025-03-26 20:55:20
30,24,Noise Yoga Block,Yoga Block by Noise - value for money in Yoga & Wellness.,16676.23,SKU-YOG-0030,2025-12-26 08:00:44
31,24,Sony Meditation Cushion,Meditation Cushion by Sony - premium quality in Yoga & Wellness.,75274.28,SKU-YOG-0031,2025-03-14 10:32:38
32,20,Nivea Conditioner,Conditioner by Nivea - new arrival in Haircare.,77844.61,SKU-HAI-0032,2025-02-15 13:02:35
33,19,Bajaj Sunscreen SPF50,Sunscreen SPF50 by Bajaj - top rated in Skincare.,38185.07,SKU-SKI-0033,2026-03-08 16:16:20
34,11,Puma DSLR Camera,DSLR Camera by Puma - new arrival in Cameras.,87189.1,SKU-CAM-0034,2026-03-26 20:42:11
35,17,Sony Study Table,Study Table by Sony - premium quality in Furniture.,43014.61,SKU-FUR-0035,2026-02-17 12:54:31
36,9,LG Over-Ear Headphones,Over-Ear Headphones by LG - premium quality in Headphones.,6301.89,SKU-HEA-0036,2025-07-02 16:31:06
37,25,Yonex Fantasy Novel,Fantasy Novel by Yonex - premium quality in Fiction.,3767.8,SKU-FIC-0037,2025-03-05 16:16:53
38,25,Apple Romance Novel,Romance Novel by Apple - new arrival in Fiction.,60340.39,SKU-FIC-0038,2025-09-02 00:48:42
39,11,Penguin Action Camera,Action Camera by Penguin - top rated in Cameras.,41257.77,SKU-CAM-0039,2025-02-26 08:18:06
40,25,LG Mystery Novel,Mystery Novel by LG - premium quality in Fiction.,19340.26,SKU-FIC-0040,2025-07-25 23:41:38
41,9,Adidas Over-Ear Headphones,Over-Ear Headphones by Adidas - top rated in Headphones.,14364.67,SKU-HEA-0041,2026-02-26 22:19:00
42,27,Classmate Notebook Set,Notebook Set by Classmate - premium quality in Office Supplies.,27083.21,SKU-OFF-0042,2026-05-31 06:27:43
43,10,Urban Ladder Fit Band,Fit Band by Urban Ladder - premium quality in Smart Watches.,14158.22,SKU-SMA-0043,2025-08-07 20:19:03
44,17,Classmate Office Chair,Office Chair by Classmate - top rated in Furniture.,45584.73,SKU-FUR-0044,2025-07-15 01:14:21
45,27,Apple Sticky Notes Pack,Sticky Notes Pack by Apple - best seller in Office Supplies.,517.4,SKU-OFF-0045,2025-04-12 14:39:18
46,21,Mamaearth Compact Powder,Compact Powder by Mamaearth - best seller in Makeup.,10245.27,SKU-MAK-0046,2025-04-26 18:34:23
47,25,Philips Fantasy Novel,Fantasy Novel by Philips - new arrival in Fiction.,3955.23,SKU-FIC-0047,2025-10-11 05:35:48
48,13,Classmate Saree,Saree by Classmate - best seller in Women's Wear.,31959.34,SKU-WOM-0048,2026-03-11 20:59:06
49,14,HP Kids T-Shirt,Kids T-Shirt by HP - value for money in Kids Wear.,2424.82,SKU-KID-0049,2025-09-16 00:23:09
50,14,HP Kids Frock,Kids Frock by HP - best seller in Kids Wear.,34551.25,SKU-KID-0050,2025-01-31 01:52:44
51,13,Adidas Palazzo Set,Palazzo Set by Adidas - top rated in Women's Wear.,73883.17,SKU-WOM-0051,2025-06-26 18:41:14
52,13,Nike Palazzo Set,Palazzo Set by Nike - top rated in Women's Wear.,77817.89,SKU-WOM-0052,2025-08-05 19:16:01
53,19,Samsung Sunscreen SPF50,Sunscreen SPF50 by Samsung - best seller in Skincare.,78957.05,SKU-SKI-0053,2025-07-22 21:24:15
54,8,SG Inspiron,Inspiron by SG - value for money in Laptops.,31241.7,SKU-LAP-0054,2025-09-01 15:22:08
55,10,Yonex Smart Watch Pro,Smart Watch Pro by Yonex - new arrival in Smart Watches.,23073.08,SKU-SMA-0055,2025-12-05 16:42:04
56,13,Philips Western Dress,Western Dress by Philips - best seller in Women's Wear.,85407.93,SKU-WOM-0056,2025-09-14 11:22:29
57,10,Puma GPS Sports Watch,GPS Sports Watch by Puma - premium quality in Smart Watches.,27972.76,SKU-SMA-0057,2025-11-14 04:59:44
58,24,Dell Meditation Cushion,Meditation Cushion by Dell - value for money in Yoga & Wellness.,59909.66,SKU-YOG-0058,2025-10-22 11:46:48
59,26,Puma Textbook,Textbook by Puma - value for money in Academic.,49403.76,SKU-ACA-0059,2025-01-01 07:34:02
60,20,Bajaj Hair Serum,Hair Serum by Bajaj - value for money in Haircare.,39904.95,SKU-HAI-0060,2025-06-15 23:40:58
61,9,Lakme Noise Cancelling Headset,Noise Cancelling Headset by Lakme - premium quality in Headphones.,30298.91,SKU-HEA-0061,2025-07-02 10:16:04
62,13,Samsung Saree,Saree by Samsung - best seller in Women's Wear.,22185.86,SKU-WOM-0062,2026-01-05 01:11:00
63,20,Cello Hair Oil,Hair Oil by Cello - value for money in Haircare.,44594.07,SKU-HAI-0063,2025-07-09 12:11:58
64,7,Philips Galaxy,Galaxy by Philips - new arrival in Mobiles.,15993.62,SKU-MOB-0064,2026-02-07 07:25:56
