shipment_id,order_id,courier_name,tracking_number,estimated_delivery,actual_delivery,shipment_status
1,1,Ekart,EKA000001,2025-09-17,2025-09-21,Delivered
2,2,Shadowfax,SHA000002,2026-06-06,,In Transit
3,4,Delhivery,DEL000004,2025-09-14,,Returned
4,5,Bluedart,BLU000005,2026-01-05,2026-01-03,Delivered
5,6,Bluedart,BLU000006,2026-04-08,,Returned
6,7,Xpressbees,XPR000007,2025-05-13,,Returned
7,8,Bluedart,BLU000008,2026-02-28,,Returned
8,9,Xpressbees,XPR000009,2025-04-29,,Returned
9,12,Ekart,EKA000012,2025-08-29,2025-08-30,Delivered
10,13,Xpressbees,XPR000013,2025-10-09,2025-10-08,Delivered
11,14,Bluedart,BLU000014,2025-10-04,,In Transit
12,16,Delhivery,DEL000016,2026-04-05,,Shipped
13,18,Bluedart,BLU000018,2025-11-10,2025-11-06,Delivered
14,19,Delhivery,DEL000019,2025-12-01,,Returned
15,20,Delhivery,DEL000020,2025-09-26,2025-09-21,Delivered
16,21,Delhivery,DEL000021,2026-03-23,2026-03-26,Delivered
17,22,Bluedart,BLU000022,2025-07-29,,Returned
18,23,Ekart,EKA000023,2025-07-27,,In Transit
19,25,Shadowfax,SHA000025,2025-09-08,2025-09-10,Delivered
20,26,Delhivery,DEL000026,2026-06-12,2026-06-21,Delivered
21,27,Ekart,EKA000027,2026-03-26,,Returned
22,30,Shadowfax,SHA000030,2025-01-21,2025-01-19,Delivered
23,31,Shadowfax,SHA000031,2025-03-09,2025-03-14,Delivered
24,32,Xpressbees,XPR000032,2025-01-22,2025-01-21,Delivered
25,33,Xpressbees,XPR000033,2025-07-07,2025-07-09,Delivered
26,34,Ekart,EKA000034,2025-03-18,2025-03-11,Delivered
27,35,Bluedart,BLU000035,2025-10-01,2025-10-08,Delivered
28,37,Shadowfax,SHA000037,2025-03-03,,Shipped
29,38,Shadowfax,SHA000038,2025-11-21,2025-11-27,Delivered
30,39,Bluedart,BLU000039,2026-04-17,2026-04-24,Delivered
31,40,Shadowfax,SHA000040,2025-10-22,2025-10-20,Delivered
32,41,Bluedart,BLU000041,2025-05-08,,In Transit
33,43,Delhivery,DEL000043,2026-05-01,,Returned
34,44,Ekart,EKA000044,2026-05-28,2026-05-30,Delivered
35,45,Ekart,EKA000045,2025-10-25,2025-10-31,Delivered
36,46,Xpressbees,XPR000046,2025-02-20,2025-02-18,Delivered
37,47,Delhivery,DEL000047,2025-06-04,2025-06-01,Delivered
38,48,Bluedart,BLU000048,2025-07-25,2025-07-23,Delivered
39,49,Delhivery,DEL000049,2026-05-27,2026-05-24,Delivered
40,50,Shadowfax,SHA000050,2026-04-17,,In Transit
41,51,Xpressbees,XPR000051,2025-06-02,2025-06-04,Delivered
42,52,Delhivery,DEL000052,2026-01-04,2026-01-06,Delivered
43,54,Delhivery,DEL000054,2026-01-04,,Shipped
44,55,DTDC,DTD000055,2025-08-19,2025-08-25,Delivered
45,56,Ekart,EKA000056,2025-09-12,,Returned
46,58,Xpressbees,XPR000058,2025-07-14,,In Transit
47,59,Ekart,EKA000059,2025-09-14,,Returned
48,62,Shadowfax,SHA000062,2026-06-01,2026-05-24,Delivered
49,63,Delhivery,DEL000063,2025-03-10,2025-03-12,Delivered
50,64,Ekart,EKA000064,2025-11-16,2025-11-14,Delivered
